product_id,name,category,price,stock_quantity
1,Ergonomic 6thgeneration data-warehouse,Home & Garden,329.68,183
2,Innovative intermediate array,Clothing,38.5,145
3,Mandatory human-resource projection,Home & Garden,18.52,54
4,Enterprise-wide interactive collaboration,Toys,304.12,480
5,Horizontal fault-tolerant info-mediaries,Sports & Outdoors,583.5,330
6,Synergistic mission-critical alliance,Home & Garden,477.2,56
7,Fundamental intangible conglomeration,Clothing,107.99,107
8,Diverse hybrid software,Health,808.12,364
9,Programmable bi-directional Local Area Network,Home & Garden,565.37,461
10,Configurable grid-enabled software,Sports & Outdoors,446.28,376
11,Upgradable bandwidth-monitored projection,Automotive,898.49,106
12,Open-architected 24/7 complexity,Automotive,331.96,226
13,Intuitive clear-thinking orchestration,Electronics,789.19,262
14,Profit-focused human-resource software,Books,682.9,464
15,Persevering 24/7 matrix,Clothing,975.05,146
16,Streamlined static initiative,Clothing,430.35,357
17,Optimized zero administration application,Toys,765.71,492
18,Innovative interactive firmware,Electronics,647.41,309
19,User-centric scalable budgetary management,Clothing,892.7,127
20,Robust local middleware,Sports & Outdoors,850.52,35
21,Multi-layered zero-defect leverage,Toys,630.13,455
22,Universal full-range monitoring,Sports & Outdoors,989.33,209
23,Multi-lateral bifurcated toolset,Clothing,643.9,447
24,Enhanced interactive monitoring,Toys,469.52,413
25,Virtual human-resource service-desk,Food & Beverage,563.68,204
26,Configurable coherent ability,Electronics,26.67,205
27,Mandatory tertiary parallelism,Books,778.23,365
28,Fundamental dedicated migration,Books,15.8,288
29,Seamless upward-trending knowledgebase,Health,576.22,456
30,Optional actuating Local Area Network,Beauty,364.46,377
31,Horizontal 6thgeneration capability,Toys,64.92,350
32,Pre-emptive logistical hierarchy,Beauty,857.86,218
33,Business-focused radical software,Books,424.78,394
34,Multi-layered eco-centric interface,Beauty,81.25,467
35,Mandatory systematic frame,Home & Garden,333.63,82
36,Visionary 4thgeneration moratorium,Food & Beverage,973.77,219
37,Future-proofed context-sensitive frame,Food & Beverage,463.88,17
38,Multi-channeled intangible adapter,Sports & Outdoors,260.33,137
39,Organized fresh-thinking framework,Health,752.37,17
